Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
183;Arkona;F;01.01.1973;14.05.2025;4736;Gesamt_Messzeitraum;eor;                                                                                                                                        
183;Arkona;D;01.01.1973;14.05.2025;4570;Gesamt_Messzeitraum;eor;                                                                                                                                        
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
183;Arkona;F;08.01.1990-12:00;08.01.1990-12:00;1;;eor;                                                                                                                                                  
183;Arkona;F;21.11.1991-06:00;21.11.1991-09:00;4;;eor;                                                                                                                                                  
183;Arkona;F;01.01.1992-00:00;01.01.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;13.01.1992-00:00;27.01.1992-07:00;344;;eor;                                                                                                                                                
183;Arkona;F;01.02.1992-00:00;01.02.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;10.02.1992-14:00;10.02.1992-14:00;1;;eor;                                                                                                                                                  
183;Arkona;F;01.03.1992-00:00;01.03.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;12.03.1992-11:00;18.03.1992-13:00;147;;eor;                                                                                                                                                
183;Arkona;F;01.04.1992-00:00;01.04.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;08.04.1992-17:00;14.04.1992-05:00;133;;eor;                                                                                                                                                
183;Arkona;F;19.04.1992-00:00;24.04.1992-20:00;141;;eor;                                                                                                                                                
183;Arkona;F;25.04.1992-19:00;30.04.1992-20:00;122;;eor;                                                                                                                                                
183;Arkona;F;01.05.1992-01:00;02.05.1992-17:00;41;;eor;                                                                                                                                                 
183;Arkona;F;20.05.1992-22:00;26.05.1992-00:00;123;;eor;                                                                                                                                                
183;Arkona;F;27.05.1992-01:00;01.06.1992-13:00;133;;eor;                                                                                                                                                
183;Arkona;F;01.07.1992-00:00;01.07.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;01.08.1992-00:00;01.08.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;29.08.1992-06:00;03.09.1992-19:00;134;;eor;                                                                                                                                                
183;Arkona;F;01.10.1992-00:00;01.10.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;21.10.1992-06:00;07.11.1992-23:00;426;;eor;                                                                                                                                                
183;Arkona;F;12.11.1992-06:00;12.11.1992-06:00;1;;eor;                                                                                                                                                  
183;Arkona;F;01.12.1992-00:00;01.12.1992-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;14.12.1992-16:00;14.12.1992-16:00;1;;eor;                                                                                                                                                  
183;Arkona;F;21.12.1992-22:00;27.12.1992-20:00;143;;eor;                                                                                                                                                
183;Arkona;F;01.01.1993-00:00;01.01.1993-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;01.05.1993-00:00;01.05.1993-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;01.06.1993-00:00;01.06.1993-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;01.07.1993-00:00;01.07.1993-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;01.07.1993-09:00;07.07.1993-16:00;152;;eor;                                                                                                                                                
183;Arkona;F;01.08.1993-00:00;01.08.1993-00:00;1;;eor;                                                                                                                                                  
183;Arkona;F;19.10.1993-16:00;19.10.1993-16:00;1;;eor;                                                                                                                                                  
183;Arkona;F;19.10.1993-23:00;25.10.1993-14:00;136;;eor;                                                                                                                                                
183;Arkona;F;07.12.1993-22:00;07.12.1993-22:00;1;;eor;                                                                                                                                                  
