,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
6496,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,Worst taste wine,white
6495,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,Worst taste wine,white
6467,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,Worst taste wine,red
6468,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,Worst taste wine,red
6470,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,Worst taste wine,red
6471,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,Worst taste wine,red
6472,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,Worst taste wine,red
6473,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,Worst taste wine,red
6474,7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,Worst taste wine,red
6475,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,Worst taste wine,red
6476,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,Worst taste wine,red
6477,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,Worst taste wine,white
6478,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,Worst taste wine,white
6479,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,Worst taste wine,white
6480,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,Worst taste wine,white
6469,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,Worst taste wine,red
6482,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,Worst taste wine,white
6481,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,Worst taste wine,white
6494,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,Worst taste wine,white
6492,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,Worst taste wine,white
6491,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,Worst taste wine,white
6490,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,Worst taste wine,white
6489,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,Worst taste wine,white
6493,9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,Worst taste wine,white
6487,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,Worst taste wine,white
6483,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,Worst taste wine,white
6488,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,Worst taste wine,white
6484,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,Worst taste wine,white
6486,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,Worst taste wine,white
6485,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,Worst taste wine,white
6319,7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,"Ouch, my palate",white
6327,6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,"Ouch, my palate",white
6326,6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,"Ouch, my palate",white
6325,6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,"Ouch, my palate",white
6328,7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,"Ouch, my palate",white
6324,7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,"Ouch, my palate",white
6323,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,"Ouch, my palate",white
6322,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,"Ouch, my palate",white
6321,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,"Ouch, my palate",white
6320,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,"Ouch, my palate",white
6318,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,"Ouch, my palate",white
6311,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,"Ouch, my palate",white
6316,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,"Ouch, my palate",white
6315,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,"Ouch, my palate",white
6314,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,"Ouch, my palate",white
6313,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,"Ouch, my palate",white
6312,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,"Ouch, my palate",white
6310,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,"Ouch, my palate",white
6308,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,"Ouch, my palate",white
6307,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,"Ouch, my palate",white
6306,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,"Ouch, my palate",white
6329,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,"Ouch, my palate",white
6317,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,"Ouch, my palate",white
6330,6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,"Ouch, my palate",white
6345,9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,"Ouch, my palate",white
6332,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,"Ouch, my palate",white
6356,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,"Ouch, my palate",white
6355,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,"Ouch, my palate",white
6354,6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,"Ouch, my palate",white
6353,6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,"Ouch, my palate",white
6352,8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,"Ouch, my palate",white
